Month,Tmax,Tmin,Rain,Solar rad,Frost days
Jan,-5.328266667,-13.27093333,66.976,2.550666667,30
Feb,-1.351733333,-11.04213333,37.408,5.5648,30
Mar,3.370133333,-7.472533333,36.568,10.89893333,27
Apr,9.513066667,-2.7472,36.97333333,15.77893333,17
May,14.47946667,1.3856,46.88266667,18.9688,9
Jun,17.98186667,5.612266667,67.128,20.46053333,0
Jul,20.45813333,7.3888,62.79733333,20.33893333,0
Aug,20.42186667,6.9584,48.35466667,17.01733333,0
Sep,15.54986667,3.196266667,48.384,11.5656,5
Oct,7.448533333,-1.272,67.456,5.825333333,14
Nov,0.269866667,-5.9872,75.11733333,2.835466667,24
Dec,-3.7256,-10.60426667,66.8,1.869066667,30
