Month,Tmax,Tmin,Rain,Solar rad,Frost days
Jan,9.444444444,-2.222222222,113.03,12.3,16.04444444
Feb,11.66666667,-1.666666667,93.98,15.8,14.93333333
Mar,16.66666667,2.777777778,119.126,20.3,6.044444444
Apr,21.66666667,7.777777778,87.122,24.5,0
May,26.11111111,13.33333333,117.094,26.5,0
Jun,29.44444444,18.33333333,102.108,27,0
Jul,31.66666667,21.11111111,100.076,26.7,0
Aug,30.55555556,20,110.998,25.4,0
Sep,27.22222222,15.55555556,110.998,21.9,0
Oct,21.66666667,8.333333333,93.98,17.2,0
Nov,16.66666667,2.777777778,86.106,13.1,6.044444444
Dec,11.66666667,-1.111111111,87.122,11.4,13.82222222
