Month,Tmax,Tmin,Rain,Solar rad,Frost days
Jan,6.6,0.43,364.5270833,4.2,12.88192536
Feb,9.2,0.8,264.4425532,4.8,11.46160723
Mar,11.1,1.4,255.8148936,7.3,9.752933196
Apr,14.5,2.9,170.4765957,13.3,6.52198066
May,18.8,6.611111111,122.8361702,16.7,1.046945779
Jun,22.88888889,9.166666667,66.11276596,16.8,0
Jul,27.22222222,10.77777778,16.6893617,21.2,0
Aug,27.44444444,10.61111111,32.86382979,15.4,0
Sep,22.6,7.7,75.08723404,15.8,0
Oct,16.7,4.1,167.606383,10.1,2.250322186
Nov,9.8,1.9,372.6851064,3.9,8.028513028
Dec,8.111111111,0.65,386.6851064,3.4,12.31542755
