Tmax,Tmin,Tav,VPD,Rain,Solar rad,Rain Days,Frost Days,Ca,D13Catm,d18O,Year,Month
-2.7,-12.2,-8,1.62,285.43,3.62,17,36,282.47,-8.2,-15.6,1950,1
3.5,-7.1,-2.1,2.64,80.92,3.81,13,25,282.62,-8.2,-15.9,1950,2
4.5,-5.9,-1.3,2.78,126.54,3.78,14,23,282.76,-8.2,-16.7,1950,3
8.9,-5.4,2,4.53,33.94,4.37,9,22,282.91,-8.2,-13.9,1950,4
14.9,-3.2,6.2,7.5,19.43,4.88,7,18,283.05,-8.2,-12,1950,5
18.3,2.5,10.3,8.5,79.84,4.76,13,6,283.19,-8,-11,1950,6
24.9,3.7,15.5,14.58,0,5.55,0,4,283.34,-7.7,-10.5,1950,7
25.4,4,16.3,15.07,10.72,5.64,5,3,283.48,-7.6,-11.2,1950,8
20.7,1.1,12.1,11.03,17.18,5.26,6,9,283.63,-7.8,-10.6,1950,9
12,1,6.4,4.62,224.17,4.04,16,9,283.77,-8,-12.6,1950,10
7.1,-2.2,2.2,3.03,145.24,3.65,14,16,283.92,-8.1,-14.8,1950,11
5.6,-1.5,1.6,2.24,156.6,3.11,14,14,284.06,-8.1,-15.7,1950,12
0.5,-7.4,-3.8,1.75,197.56,3.26,15,26,284.2,-8.2,-15.6,1951,1
3.7,-6.5,-1.2,2.6,110.46,3.75,13,24,284.35,-8.2,-15.9,1951,2
5.8,-8,-0.8,3.64,95.93,4.27,13,27,284.49,-8.2,-16.7,1951,3
13.2,-5.3,5.1,6.84,22.08,4.91,7,22,284.64,-8.2,-13.9,1951,4
14.9,-0.8,7.3,6.92,43.87,4.65,10,13,284.78,-8.2,-12,1951,5
21.1,0.3,11.7,11.63,3.65,5.33,3,11,284.93,-8,-11,1951,6
25.2,2.3,15.5,15.4,6.31,5.69,5,7,285.07,-7.7,-10.5,1951,7
23.8,1.1,14.8,14.17,13.8,5.67,6,9,285.21,-7.6,-11.2,1951,8
21.6,-0.2,12.3,12.25,11.69,5.44,6,12,285.36,-7.8,-10.6,1951,9
11.3,-0.1,5.5,4.53,125.19,4.07,14,11,285.5,-8,-12.6,1951,10
5.8,-4.3,1,2.96,131.91,3.77,14,20,285.65,-8.1,-14.8,1951,11
0.8,-7.2,-3.7,1.8,230.39,3.28,16,26,285.79,-8.1,-15.7,1951,12
-0.1,-8.6,-4.3,1.78,135.9,3.4,14,28,285.94,-8.2,-15.6,1952,1
3.6,-7.2,-1.8,2.69,124.14,3.84,14,26,286.08,-8.2,-15.9,1952,2
3.8,-6.7,-1.3,2.67,94.14,3.8,13,25,286.22,-8.2,-16.7,1952,3
